,Input.image_url,Answer.category.label
715,all_views_2105.png,1
719,all_views_2107.png,0
721,all_views_1423.png,1
722,all_views_1192.png,1
725,all_views_1652.png,1
731,all_views_2363.png,0
733,all_views_1655.png,0
734,all_views_2364.png,1
739,all_views_1196.png,0
740,all_views_2365.png,0
742,all_views_2111.png,0
744,all_views_1659.png,0
747,all_views_1199.png,1
751,all_views_120.png,0
758,all_views_2119.png,0
765,all_views_1204.png,1
771,all_views_2123.png,0
780,all_views_1435.png,0
786,all_views_2383.png,0
787,all_views_2128.png,1
793,all_views_1437.png,0
796,all_views_2385.png,1
803,all_views_1215.png,0
805,all_views_1911.png,0
806,all_views_2133.png,1
807,all_views_1676.png,0
808,all_views_1216.png,1
809,all_views_2135.png,0
815,all_views_239.png,0
819,all_views_168.png,0
820,all_views_1916.png,0
823,all_views_1443.png,0
824,all_views_2138.png,0
826,all_views_1917.png,1
830,all_views_1683.png,0
831,all_views_1445.png,1
832,all_views_2395.png,0
838,all_views_1448.png,1
840,all_views_1225.png,0
841,all_views_1921.png,1
845,all_views_1687.png,1
848,all_views_1924.png,0
856,all_views_1455.png,0
860,all_views_2151.png,0
861,all_views_1459.png,0
863,all_views_2863.png,0
866,all_views_2399.png,0
868,all_views_3095.png,0
869,all_views_24.png,0
872,all_views_2631.png,0
875,all_views_2867.png,0
880,all_views_3099.png,1
881,all_views_3331.png,0
884,all_views_2635.png,0
886,all_views_3332.png,1
887,all_views_2636.png,0
888,all_views_2871.png,0
891,all_views_2637.png,1
893,all_views_2638.png,0
894,all_views_3335.png,0
895,all_views_2873.png,0
901,all_views_3563.png,0
905,all_views_3104.png,0
908,all_views_3564.png,0
909,all_views_334.png,0
911,all_views_2409.png,1
913,all_views_241.png,0
914,all_views_3107.png,0
918,all_views_288.png,1
929,all_views_3571.png,0
930,all_views_3111.png,0
936,all_views_2648.png,0
939,all_views_2884.png,0
945,all_views_242.png,0
948,all_views_2651.png,1
960,all_views_3120.png,0
961,all_views_3353.png,1
962,all_views_3121.png,1
964,all_views_3355.png,0
969,all_views_2427.png,0
970,all_views_2891.png,0
976,all_views_2429.png,1
977,all_views_3583.png,0
978,all_views_336.png,0
983,all_views_3584.png,1
987,all_views_2431.png,0
997,all_views_2655.png,0
998,all_views_2899.png,0
1007,all_views_2660.png,1
1008,all_views_2436.png,1
1011,all_views_3133.png,1
1013,all_views_2437.png,1
1016,all_views_3371.png,1
1017,all_views_2439.png,0
1022,all_views_2665.png,1
1023,all_views_3137.png,1
1026,all_views_3139.png,0
1027,all_views_2908.png,1
1030,all_views_314.png,0
1035,all_views_3599.png,0
1036,all_views_2445.png,1
1037,all_views_3140.png,0
1039,all_views_267.png,1
1044,all_views_3141.png,0
1045,all_views_2446.png,0
1048,all_views_360.png,1
1052,all_views_3600.png,1
1054,all_views_3144.png,0
1056,all_views_3145.png,0
1057,all_views_2916.png,0
1058,all_views_3147.png,0
1067,all_views_2450.png,0
1068,all_views_292.png,1
1069,all_views_3383.png,0
1075,all_views_2921.png,1
1076,all_views_2675.png,0
1079,all_views_3385.png,0
1081,all_views_3155.png,0
1082,all_views_2923.png,0
1083,all_views_3607.png,1
1089,all_views_3156.png,1
1090,all_views_2925.png,0
1093,all_views_2926.png,0
1100,all_views_2459.png,0
1111,all_views_3609.png,1
1112,all_views_2685.png,1
1114,all_views_2687.png,0
1125,all_views_2936.png,1
1127,all_views_2690.png,0
1129,all_views_3615.png,0
1132,all_views_3397.png,1
1133,all_views_3171.png,1
1137,all_views_2940.png,1
1139,all_views_3617.png,0
1141,all_views_3173.png,1
1148,all_views_3175.png,0
1149,all_views_2944.png,1
1155,all_views_2697.png,1
1156,all_views_3177.png,1
1158,all_views_2947.png,1
1160,all_views_2699.png,0
1164,all_views_27.png,1
1168,all_views_2477.png,1
1169,all_views_3628.png,1
1170,all_views_2479.png,0
1171,all_views_3629.png,0
1172,all_views_3403.png,1
1173,all_views_2700.png,0
1175,all_views_3404.png,0
1179,all_views_3631.png,0
1180,all_views_3405.png,1
1182,all_views_295.png,0
1191,all_views_2705.png,1
1195,all_views_341.png,0
1200,all_views_2708.png,0
1202,all_views_3639.png,0
1204,all_views_319.png,0
1205,all_views_364.png,1
1208,all_views_3192.png,1
1212,all_views_3641.png,1
1215,all_views_3195.png,0
1222,all_views_2960.png,1
1223,all_views_3419.png,0
1226,all_views_3420.png,1
1229,all_views_2716.png,1
1230,all_views_3647.png,0
1239,all_views_272.png,0
1245,all_views_2493.png,1
1249,all_views_3652.png,1
1259,all_views_343.png,0
1261,all_views_3431.png,0
1266,all_views_2969.png,1
1268,all_views_25.png,0
1271,all_views_3208.png,1
1276,all_views_2501.png,1
1278,all_views_3659.png,1
1279,all_views_2731.png,0
1281,all_views_321.png,1
1284,all_views_2504.png,1
1286,all_views_3437.png,0
1287,all_views_2505.png,0
1292,all_views_3212.png,1
1293,all_views_2976.png,1
1296,all_views_2507.png,0
1300,all_views_2733.png,0
1301,all_views_3215.png,1
1302,all_views_3443.png,0
1303,all_views_3668.png,1
1306,all_views_3669.png,0
1316,all_views_2512.png,1
1326,all_views_2515.png,0
1329,all_views_3224.png,0
1342,all_views_368.png,1
1347,all_views_2993.png,0
1348,all_views_2745.png,1
1350,all_views_2995.png,0
1351,all_views_3453.png,1
1356,all_views_3683.png,0
1357,all_views_3232.png,0
1365,all_views_3687.png,0
1367,all_views_3459.png,0
1368,all_views_2999.png,1
1377,all_views_300.png,1
1378,all_views_3236.png,0
1380,all_views_253.png,1
1383,all_views_369.png,0
1391,all_views_324.png,1
1392,all_views_3464.png,1
1398,all_views_3465.png,1
1401,all_views_3007.png,0
1404,all_views_3241.png,1
1407,all_views_3008.png,1
1409,all_views_3243.png,0
1410,all_views_2759.png,1
1419,all_views_2539.png,0
1423,all_views_3471.png,0
1425,all_views_3011.png,1
1436,all_views_2544.png,1
1438,all_views_3701.png,1
1439,all_views_3013.png,0
1442,all_views_3475.png,0
1443,all_views_3251.png,0
1453,all_views_3019.png,0
1459,all_views_3020.png,1
1466,all_views_3481.png,0
1475,all_views_3025.png,1
1482,all_views_3255.png,0
1484,all_views_2553.png,1
1489,all_views_2781.png,0
1490,all_views_349.png,0
1492,all_views_3716.png,1
1494,all_views_3259.png,0
1495,all_views_3491.png,0
1500,all_views_3261.png,0
1502,all_views_2556.png,0
1506,all_views_3494.png,0
1513,all_views_3039.png,0
1515,all_views_3723.png,0
1520,all_views_3268.png,1
1522,all_views_2559.png,0
1528,all_views_3045.png,1
1529,all_views_3728.png,1
1531,all_views_327.png,0
1533,all_views_3047.png,0
1534,all_views_373.png,1
1543,all_views_2564.png,0
1546,all_views_2796.png,0
1547,all_views_3734.png,0
1550,all_views_3735.png,1
1551,all_views_3276.png,1
1561,all_views_3508.png,1
1565,all_views_3055.png,1
1567,all_views_3279.png,0
1570,all_views_351.png,0
1578,all_views_3513.png,1
1581,all_views_3281.png,0
1589,all_views_2805.png,0
1594,all_views_3285.png,0
1599,all_views_3067.png,0
1602,all_views_2571.png,0
1612,all_views_329.png,0
1614,all_views_3071.png,0
1617,all_views_3523.png,0
1618,all_views_2576.png,1
1619,all_views_3292.png,1
1625,all_views_3073.png,0
1628,all_views_3525.png,1
1633,all_views_3527.png,0
1634,all_views_2580.png,0
1640,all_views_2581.png,0
1642,all_views_33.png,1
1647,all_views_2824.png,0
1649,all_views_3300.png,1
1654,all_views_3535.png,0
1655,all_views_2587.png,0
1661,all_views_2828.png,1
1662,all_views_2589.png,0
1666,all_views_259.png,0
1667,all_views_3081.png,1
1668,all_views_2829.png,0
1670,all_views_3540.png,1
1671,all_views_3083.png,0
1673,all_views_2591.png,0
1677,all_views_3084.png,1
1678,all_views_3543.png,0
1679,all_views_3307.png,1
1680,all_views_2832.png,0
1684,all_views_3087.png,1
1687,all_views_3308.png,1
1689,all_views_2595.png,0
1691,all_views_3089.png,0
1693,all_views_309.png,1
1695,all_views_2596.png,1
1698,all_views_3772.png,1
1700,all_views_3311.png,0
1704,all_views_2599.png,1
1708,all_views_260.png,0
1710,all_views_3313.png,1
1712,all_views_3551.png,0
1715,all_views_2841.png,0
1718,all_views_3316.png,0
1720,all_views_3553.png,1
1725,all_views_3557.png,1
1727,all_views_2605.png,0
1728,all_views_3559.png,0
1729,all_views_3783.png,0
1734,all_views_3560.png,0
1738,all_views_3788.png,1
1742,all_views_2855.png,0
1745,all_views_3791.png,0
1747,all_views_2616.png,0
1749,all_views_2858.png,0
1750,all_views_3793.png,1
1753,all_views_2619.png,1
1754,all_views_2861.png,0
1756,all_views_2623.png,1
1761,all_views_2628.png,1
1762,all_views_427.png,0
1764,all_views_3799.png,0
1765,all_views_38.png,0
1766,all_views_429.png,0
1768,all_views_672.png,0
1772,all_views_893.png,0
1779,all_views_435.png,0
1781,all_views_3803.png,0
1788,all_views_899.png,0
1789,all_views_437.png,0
1791,all_views_440.png,1
1793,all_views_901.png,0
1795,all_views_903.png,0
1798,all_views_444.png,1
1800,all_views_3810.png,0
1801,all_views_907.png,0
1810,all_views_449.png,1
1815,all_views_3816.png,1
1817,all_views_451.png,0
1826,all_views_69.png,0
1827,all_views_3821.png,0
1829,all_views_691.png,0
1833,all_views_457.png,0
1836,all_views_693.png,1
1839,all_views_695.png,0
1841,all_views_921.png,0
1843,all_views_923.png,0
1851,all_views_7.png,0
1852,all_views_467.png,0
1853,all_views_927.png,0
1854,all_views_701.png,0
1855,all_views_928.png,1
1858,all_views_704.png,1
1866,all_views_932.png,0
1868,all_views_3839.png,0
1872,all_views_71.png,0
1876,all_views_3840.png,0
1881,all_views_937.png,1
1883,all_views_712.png,1
1886,all_views_940.png,1
1887,all_views_713.png,1
1891,all_views_943.png,0
1896,all_views_487.png,0
1898,all_views_716.png,1
1899,all_views_385.png,0
1901,all_views_488.png,1
1902,all_views_489.png,0
1904,all_views_95.png,0
1906,all_views_49.png,1
1911,all_views_3853.png,0
1913,all_views_3855.png,0
1916,all_views_723.png,0
1922,all_views_728.png,1
1924,all_views_496.png,0
1925,all_views_96.png,0
1928,all_views_497.png,1
1929,all_views_731.png,0
1931,all_views_961.png,1
1932,all_views_3863.png,0
1939,all_views_501.png,0
1941,all_views_735.png,0
1942,all_views_502.png,0
1950,all_views_387.png,0
1951,all_views_971.png,0
1956,all_views_3872.png,0
1966,all_views_506.png,0
1968,all_views_747.png,0
1970,all_views_748.png,0
1979,all_views_3883.png,1
1980,all_views_983.png,0
1985,all_views_512.png,0
1987,all_views_755.png,0
1988,all_views_986.png,0
1994,all_views_759.png,0
1996,all_views_3889.png,0
1998,all_views_99.png,0
1999,all_views_389.png,0
2001,all_views_519.png,0
2002,all_views_3890.png,0
2007,all_views_995.png,1
2010,all_views_996.png,1
2011,all_views_768.png,1
2013,all_views_997.png,1
2014,all_views_525.png,0
2015,all_views_999.png,0
2017,all_views_77.png,1
2019,all_views_528.png,0
2022,all_views_3899.png,0
2025,all_views_531.png,0
2027,all_views_776.png,0
2028,all_views_532.png,1
2033,all_views_3903.png,0
2034,all_views_781.png,0
2039,all_views_785.png,0
2043,all_views_391.png,0
2048,all_views_3915.png,0
2052,all_views_792.png,0
2053,all_views_55.png,0
2060,all_views_799.png,0
2062,all_views_3921.png,0
2063,all_views_556.png,0
2064,all_views_8.png,0
2068,all_views_3923.png,0
2069,all_views_559.png,0
2073,all_views_803.png,0
2077,all_views_3927.png,0
2078,all_views_3928.png,0
2081,all_views_563.png,0
2083,all_views_565.png,0
2089,all_views_57.png,0
2095,all_views_816.png,1
2096,all_views_3939.png,0
2097,all_views_817.png,0
2100,all_views_823.png,0
2101,all_views_580.png,1
2102,all_views_581.png,0
2103,all_views_583.png,0
2104,all_views_584.png,0
2106,all_views_585.png,0
2108,all_views_828.png,1
2111,all_views_829.png,0
2112,all_views_395.png,1
2113,all_views_3951.png,0
2117,all_views_835.png,0
2118,all_views_3955.png,0
2119,all_views_836.png,1
2121,all_views_59.png,0
2122,all_views_837.png,0
2124,all_views_591.png,0
2127,all_views_84.png,1
2132,all_views_3960.png,0
2134,all_views_3961.png,0
2135,all_views_844.png,0
2136,all_views_3962.png,0
2138,all_views_3963.png,0
2140,all_views_596.png,1
2143,all_views_3967.png,0
2145,all_views_3968.png,1
2147,all_views_850.png,0
2152,all_views_604.png,1
2153,all_views_3973.png,0
2155,all_views_853.png,1
2160,all_views_857.png,1
2165,all_views_860.png,0
2169,all_views_615.png,0
2170,all_views_616.png,1
2172,all_views_3983.png,0
2173,all_views_617.png,1
2174,all_views_3984.png,1
2175,all_views_619.png,0
2179,all_views_866.png,0
2181,all_views_623.png,0
2187,all_views_627.png,0
2189,all_views_3991.png,0
2192,all_views_631.png,0
2193,all_views_3993.png,0
2195,all_views_873.png,0
2201,all_views_636.png,0
2222,all_views_65.png,0
2223,all_views_408.png,1
2224,all_views_89.png,0
2230,all_views_412.png,0
2234,all_views_661.png,1
2236,all_views_424.png,1
